ID;Course number;Reference;URL;DOI
3_210;3;D. Guyomard and J.M. Tarascon, J. Electrochem. Soc. Vol 175 (1992);https://www.youtube.com/watch?v=WEB4N4xbAhI&t=210;https://doi.org/10.1149/1.2069372
3_360;3;A. Blyr, C. Sigala et al. Jr. Electrochemical Soc. Vol. 145, 1998;https://www.youtube.com/watch?v=WEB4N4xbAhI&t=360;https://doi.org/10.1149/1.1838235
3_690;3;P. Poizot et al. Nature, 407, 496-499, 2000;https://www.youtube.com/watch?v=WEB4N4xbAhI&t=690;https://doi.org/10.1038/35035045
3_810;3;X. Ma... et al. Journal of the electrochemical society, 166(4) 2019;https://www.youtube.com/watch?v=WEB4N4xbAhI&t=810;https://doi.org/10.1149/2.0801904jes
3_990;3;K.J. Nelson et al. Journal of the electrochemical society, 165, 2018;https://www.youtube.com/watch?v=WEB4N4xbAhI&t=990;https://doi.org/10.1149/2.0041803jes
3_1080;3;G.P. Aiken et al. Journal of he electrochemical society. 167 (2020).;https://www.youtube.com/watch?v=WEB4N4xbAhI&t=1080;https://doi.org/10.1149/ma2023-02542641mtgabs
3_1290;3;J.E. Harlow et al. J. Electrochemical Society, 165 (2018);https://www.youtube.com/watch?v=WEB4N4xbAhI&t=1290;https://doi.org/10.1149/2.0981913jes
3_1680;3;H.M. Dahn et al. Journal of the electrochemical society, 159(9) 2012;https://www.youtube.com/watch?v=WEB4N4xbAhI&t=1680;https://doi.org/10.1149/2.056206jes
3_1980;3;K.J. Nelson et al. et al. Journal of the electrochemical society, 165(3) 2018;https://www.youtube.com/watch?v=WEB4N4xbAhI&t=1980;https://doi.org/10.1149/2.0041803jes
3_2160;3;G. Yan et al. Journal of the electrochemical society, 165(2) 2018;https://www.youtube.com/watch?v=WEB4N4xbAhI&t=2160;https://doi.org/10.1149/2.0311807jes
3_2640;3;M. Dollé et al. Journal of the electrochemical society A851-A857;https://www.youtube.com/watch?v=WEB4N4xbAhI&t=2640;https://doi.org/10.1149/ma2020-012437mtgabs
3_2700;3;J. Li, H. Liu, J. Xia et al, Journal of the Electrochemical Society, 164 (4) 2017;https://www.youtube.com/watch?v=WEB4N4xbAhI&t=2700;https://doi.org/10.1149/2.0651704jes
3_3060;3;R.P. Day et al. Journal of the Electrochemical society, 162(14) 2015;https://www.youtube.com/watch?v=WEB4N4xbAhI&t=3060;https://doi.org/10.1149/2.0181514jes
3_3540;3;D.P. Wilkinson, H. Blom, K. Brandt and D. Wainwright, Jr of power sources, 36 (1991);https://www.youtube.com/watch?v=WEB4N4xbAhI&t=3540;https://doi.org/10.1016/0378-7753(91)80077-b
3_3720;3;Glazier et al J. Electrochem Soc. A3545-55 (2017);https://www.youtube.com/watch?v=WEB4N4xbAhI&t=3720;https://doi.org/10.1088/2515-7655/ab2e92
3_3840;3;Joule 3 1-17 March 20 2019;https://www.youtube.com/watch?v=WEB4N4xbAhI&t=3840;https://doi.org/10.1007/s10699-020-09681-1
3_3930;3;X. Wang et al. JECS. 154 (2007);https://www.youtube.com/watch?v=WEB4N4xbAhI&t=3930;https://doi.org/10.1016/j.ces.2007.10.026
3_3930;3;Knobloch et al. Journal of electronic packaging, Vol. 140 (2018);https://www.youtube.com/watch?v=WEB4N4xbAhI&t=3930;https://doi.org/10.1115/gt2017-63523
5_660;5;J. Bonefacino. Thesis. Department of Electrical Engineering. The Hong Kong Polytechnic University. (2017);https://www.youtube.com/watch?v=-tdC1Y4Wo2Y&t=660;https://doi.org/10.1201/9780429275135-2
5_1110;5;F Udd and WB Spillman Fiber optic sensors 2011;https://www.youtube.com/watch?v=-tdC1Y4Wo2Y&t=1110;https://doi.org/10.1002/9781118014103.ch7
5_1350;5;J. Huang L Albero Blanquer et al. Nature energy August 2020;https://www.youtube.com/watch?v=-tdC1Y4Wo2Y&t=1350;https://doi.org/10.1038/s41560-020-0665-y
5_1620;5;E Hud Proc of SPIE Vol 9098 (2014);https://www.youtube.com/watch?v=-tdC1Y4Wo2Y&t=1620;https://doi.org/10.1109/cleopr.2017.8118648
